SPECIES,SITE_ID,Height_min,Height_max,Behaviour,WEATHER_CONDITIONS,N_INDIVIDUALS,SEASON,HABITAT,Longitude,Latitude
S2,Zone E,NA,25,B2,medium wind 100,6,B,X1,130.2452788,-32.3306172
S2,Zone G,NA,25,NA,Strong wind 90,5,B,X2,130.1130163,-32.34329067
S2,Zone G,NA,25,B3,Strong wind 90,5,B,X2,130.1130163,-32.34329067
S2,Zone H,NA,25,B3,medium wind 100,6,B,X1,130.164601,-32.28404537
S2,Zone E,NA,25,NA,no wind,5,B,X1,130.2453818,-32.22617201
S2,Zone H,NA,25,B3,light wind 80,6,B,X1,130.164601,-32.28404537
S2,Zone B,NA,25,NA,light wind 160,5,B,X4,130.0454944,-32.38497506
S2,Zone C,NA,25,B1,"Easterly wind, slightly overcast",6,B,X5,130.0459086,-32.52789957
S2,Zone G,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",5,B,X1,130.1257698,-32.26561097
S2,Zone B,NA,25,B1,"Hot, gusty easterly wind, some cloud cover",5,B,X4,130.0211448,-32.32262952
S2,Zone D,NA,25,B1,"Light easterly breeze, clear skies",6,B,X3,130.1692709,-32.44834877
S2,Zone H,NA,25,B1,"Hot, gusty easterly wind, some cloud cover",5,B,X1,130.0761366,-32.35155981
S2,Zone D,NA,25,B1,"Warm humid, no wind, some high cloud cover",5,B,X4,130.1041932,-32.4251709
S2,Zone D,NA,25,B2,"Hot Easterly breeze, clear skies.",5,B,X4,130.1041932,-32.4251709
S2,Zone G,NA,25,B1,"Hot, Easterly breeze, clear skies.",5,B,X4,130.1171401,-32.21401792
S2,Zone H,6,8,B3,"fine, warm, still",5,C,X4,130.1186258,-32.45876212
S2,Zone B,21,23,B3,"fine, warm, moderate breeze",5,C,X1,130.0850503,-32.27792669
S2,Zone E,23,25,B3,"fine, warm, moderate breeze v strong gusts",5,C,X1,130.2453818,-32.22617201
S2,Zone D,7,8,B3,"cloudy, warm, strong wind",5,C,X2,130.1260132,-32.36875353
S2,Zone G,7,10,B3,"cloudy, warm, strong wind",5,C,X2,130.1130163,-32.34329067
S2,Zone D,5,7,B2,"fine, clear, v light E'ly breeze",5,C,X2,130.1260132,-32.36875353
S2,Zone B,5,10,B3,"fine, clear, strong E'ly breeze",5,C,X2,130.3157018,-32.49333462
S2,Zone E,7,9,B3,"fine, partly cloudy, moderate E'ly breeze",5,C,X4,130.2040977,-32.22226437
S2,Zone D,6,8,B3,"fine, clear, strong E'ly breeze",6,C,X2,130.1260132,-32.36875353
S2,Zone H,5,7,B3,"fine, clear, moderate SE'ly breeze",5,C,X7,130.1886283,-32.31312571
S2,Zone C,6,7,B3,"sunny, breezy",5,C,X5,130.0459086,-32.52789957
S2,Zone G,6,7,B2,"cloudy, breezy",5,C,X4,130.1779859,-32.39536412
S2,Zone C,5,5.5,B3,"sunny, breezy",5,C,X4,130.2372141,-32.50679697
S2,Zone G,6,6,B1,"Sunny, light breeze",5,C,X2,130.1130163,-32.34329067
S2,Zone B,9,11,B3,"sunny, calm",5,C,X2,130.3157018,-32.49333462
S2,Zone C,5,6,B2,"sunny, calm",5,C,X4,130.2372141,-32.50679697
S2,Zone B,NA,NA,NA,"sunny, strong breeze",5,C,X2,130.3157018,-32.49333462
S3,Zone C,NA,25,B1,"Easterly wind, slightly overcast",5,B,X5,130.0459086,-32.52789957
S3,Zone D,10,11,B2,"cloudy, warm, strong wind",5,C,X2,130.1260132,-32.36875353
S3,Zone F,13,7,B3,"fine, clear, strong E'ly breeze with regular stronger gusts ",NA,C,X8,130.2022983,-32.15430901
S3,Zone D,6,9,B2,"fine, clear, strong E'ly breeze",5,C,X2,130.1260132,-32.36875353
S3,Zone C,5,6,B3,"sunny, breezy",5,C,X4,130.0633847,-32.46023925
S4,Zone G,NA,6,B3,"Clear conditions, light breeze in in steady gusts from south",8,A,X4,130.1779859,-32.39536412
S4,Zone F,NA,6,B3,"Clear, strong wind from NW",7,A,X6,130.1879648,-32.1889944
S4,Zone G,NA,25,NA,0/01/1900,7,B,X4,130.1779859,-32.39536412
S4,Zone F,NA,25,B2,strong wind 110,6,B,X6,130.1879648,-32.1889944
S4,Zone D,NA,25,B1,"Warm humid, no wind, some high cloud cover",5,B,X4,130.1041932,-32.4251709
S4,Zone H,5,6,NA,"fine, warm, still",6,C,X4,130.1186258,-32.45876212
S4,Zone G,5,6,B6,"fine, clear, light E'ly breeze",9,C,X4,130.1779859,-32.39536412
S4,Zone C,5,6,B3,"fine, clear, moderate E'ly breeze",7,C,X4,130.2372141,-32.50679697
S5,Zone C,NA,20,B3,"Easterly wind, gusty at times, hot clear day",14,A,X1,130.239891,-32.47313511
S5,Zone E,NA,17,B7,"Light Easterly breeze, clear skies",14,A,X1,130.2452788,-32.3306172
S5,Zone A,NA,13,B7,"ENE wind, gusty at times, clear skies",19,A,X1,130.030827,-32.14049329
S5,Zone A,NA,NA,B7,"ENE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S5,Zone C,NA,13,B7,"SE wind, gusty at times, hot with clear skies",10,A,X1,130.0557016,-32.43227597
S5,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,11,A,X1,130.2453818,-32.22617201
S5,Zone H,NA,NA,NA,Strong easterly,6,A,X1,130.164601,-32.28404537
S5,Zone D,NA,NA,NA,Mild Easterly,39,A,X3,130.1692709,-32.44834877
S5,Zone D,NA,NA,NA,Mild Easterly,54,A,X3,130.1692709,-32.44834877
S5,Zone C,NA,NA,NA,Strong Easterly,19,A,X1,130.239891,-32.47313511
S5,Zone H,NA,NA,NA,light easterly,8,A,X1,130.164601,-32.28404537
S5,Zone B,NA,NA,NA,Strong easterly,7,A,X1,130.0850503,-32.27792669
S5,Zone C,NA,NA,NA,medium easterly in gusts,8,A,X5,130.0459086,-32.52789957
S5,Zone C,NA,NA,NA,strong easterly in gusts,12,A,X1,130.0557016,-32.43227597
S5,Zone E,NA,NA,NA,Strong easterly,5,A,X1,130.2452788,-32.3306172
S5,Zone D,NA,NA,NA,Mild Easterly,64,A,X3,130.1692709,-32.44834877
S5,Zone E,NA,NA,B3,Strong easterly,5,A,X1,130.2452788,-32.3306172
S5,Zone E,NA,10,B3,"Clear conditions, mild breeze from SE",6,A,X4,130.2040977,-32.22226437
S5,Zone A,NA,12,B4,"Clear conditions, strong gusty breeze from SE",5,A,X1,130.0327924,-32.16947172
S5,Zone D,NA,NA,B2,"Gentle breeze from SW, clear conditions",5,A,X1,130.0923706,-32.49824002
S5,Zone B,NA,15,B3,"Gentle to moderate breeze from NE, clear conditions",6,A,X1,130.0850503,-32.27792669
S5,Zone E,NA,10,B2,"Moderate wind from E, clear conditions",5,A,X4,130.2040977,-32.22226437
S5,Zone E,NA,25,B3,"Still, hot, light breeze ",10,B,X1,130.2452788,-32.3306172
S5,Zone C,NA,25,NA,0/01/1900,15,B,X1,130.0557016,-32.43227597
S5,Zone C,NA,25,B2,0/01/1900,7,B,X5,130.0459086,-32.52789957
S5,Zone C,NA,25,B3,"Partly cloudy, moderate NW wind.",15,B,X1,130.0557016,-32.43227597
S5,Zone C,NA,25,NA,"Partly cloudy, light NW wind.",7,B,X5,130.0459086,-32.52789957
S5,Zone E,NA,25,NA,0/01/1900,9,B,X1,130.2452788,-32.3306172
S5,Zone A,NA,25,NA,"Clear, warm, light E'ly breeze",8,B,X1,130.030827,-32.14049329
S5,Zone A,NA,25,NA,"Still, clear",5,B,X4,130.0674542,-32.25413856
S5,Zone D,NA,25,B3,strong wind 90,44,B,X3,130.1692709,-32.44834877
S5,Zone D,NA,25,B3,light wind 100,14,B,X3,130.1692709,-32.44834877
S5,Zone E,NA,25,B3,medium wind 100,12,B,X1,130.2452788,-32.3306172
S5,Zone B,NA,25,B2,strong wind 80,6,B,X1,130.0850503,-32.27792669
S5,Zone H,NA,25,B7,medium wind 100,7,B,X1,130.164601,-32.28404537
S5,Zone E,NA,25,B7,no wind,11,B,X1,130.2453818,-32.22617201
S5,Zone E,NA,25,NA,light wind 80,5,B,X4,130.2040977,-32.22226437
S5,Zone H,NA,25,NA,light wind 80,7,B,X1,130.164601,-32.28404537
S5,Zone A,NA,25,B3,light wind 130,7,B,X1,130.030827,-32.14049329
S5,Zone E,NA,25,B3,medium wind 120,10,B,X1,130.2453818,-32.22617201
S5,Zone A,NA,25,B2,medium wind 100,8,B,X1,130.0327924,-32.16947172
S5,Zone A,NA,25,B2,"Very hot, gusty hot southerly breeze, clear skies",8,B,X1,130.0327924,-32.16947172
S5,Zone B,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",8,B,X1,130.0850503,-32.27792669
S5,Zone C,NA,25,B1,"Easterly wind, slightly overcast",16,B,X1,130.0557016,-32.43227597
S5,Zone D,NA,25,B1,"Light easterly breeze, clear skies",10,B,X3,130.1692709,-32.44834877
S5,Zone A,NA,25,B1,"Hot Easterly breeze, some cloud cover.",16,B,X1,130.030827,-32.14049329
S5,Zone A,NA,25,B2,"Hot Easterly breeze, some cloud cover.",6,B,X1,130.0327924,-32.16947172
S5,Zone D,NA,25,B1,"Warm humid, no wind, some high cloud cover",5,B,X4,130.1041932,-32.4251709
S5,Zone E,NA,25,NA,"Warm ENE breeze, clear skies",6,B,X1,130.241277,-32.42658892
S5,Zone A,13,14,B1,"Sunny, calm",9,C,X1,130.0327924,-32.16947172
S5,Zone B,11,17,B1,"Sunny, easterly breeze ",10,C,X1,130.0850503,-32.27792669
